가게명,별점,주소,카테고리,위도,경도
청수식탁,,광주 북구 동문대로191번길 9 1층,"백반,가정식",35.1794628139076,126.928907097014
맛집한겨레,0.0,광주 북구 첨단벤처소로 62,"백반,가정식",35.2336101076573,126.864632186663
이글맘 밥상,4.42,광주 동구 예술길 19-3,"백반,가정식",35.1503327811683,126.918574448094
오로지백반,4.09,광주 북구 동문대로 200 지하 1층,"백반,가정식",35.1793416468181,126.930416612572
영양식당,,광주 북구 서방로63번길 4 1층,"육류,고기요리",35.172578528014,126.919962324334
엄마주방,4.48,광주 북구 장운길 55,"백반,가정식",35.2002709669903,126.933205217484
앤쿡,,광주 광산구 비아중앙로31번길 8-13,"백반,가정식",35.2226623105762,126.823475967801
말바우주차장구내식당,,광주 북구 동문대로100번길 8,추어탕,35.1719535682494,126.924955647071
모두의밥상,4.62,광주 광산구 장수길 96-7,한식,35.1824358887064,126.788689622825
준희네백반,4.26,광주 북구 신촌로 2-1,"백반,가정식",35.1873719597951,126.912049457124
집밥전문백반,4.56,광주 북구 서양로 117,"백반,가정식",35.1684958098346,126.913889641161
엄마손백반,4.53,광주 광산구 손재로 173,한식,35.180692047134,126.794775448919
바구니백반,4.25,광주 동구 필문대로287번길 24-26,"백반,가정식",35.1442637480403,126.929678766548
은하수,4.23,광주 북구 동문대로 67,한식,35.1705901640912,126.921525113651
토담,4.29,광주 북구 당뫼로4번길 22,"백반,가정식",35.1663811456738,126.914671317464
kt그룹희망나눔재단 북광주 구내식당,,광주 남구 구성로20번길 21 세종교육,한식뷔페,35.1509819234328,126.898706419797
순희네반찬&백반,0.0,광주 동구 제봉로222번길 10-24,"백반,가정식",35.1548769585808,126.915243057654
샤르르손칼국수,4.27,광주 동구 구성로194번길 28,한식,35.1513046119305,126.916171258978
두레식당,0.0,광주 광산구 진곡산단5번로 57-23,한식,35.2100646700793,126.78348245498
생도식당,0.0,광주 광산구 비아로 47,한식,35.2193668163661,126.819635843589
길목백반,0.0,광주 광산구 월곡중앙로1번길 8-8,양식,35.1668713836844,126.810143980752
영암식당,0.0,광주 남구 금화로440번길 11-1 작은밥집,종합분식,35.1445618649329,126.892200306156
오라봉식당,,광주 서구 금화로 493 오라봉식당,"백반,가정식",35.1501565051098,126.890871939631
엄마의식탁,,광주 동구 제봉로98번길 11-19,"아귀찜,해물찜",35.148181856707,126.92226971765
백반하우스,,광주 북구 호동로43번길 43,주꾸미요리,35.1759811917037,126.914353906913
부부네가정식백반,,광주 광산구 임방울대로801번길 35,"족발,보쌈",35.2194643020665,126.845761927337
싸인,4.55,광주 남구 군분로 163,"육류,고기요리",35.1465885275096,126.886616845881
대광추어탕,,광주 광산구 수완로9번길 33,"칼국수,만두",35.1852140857467,126.826191530085
문길목 2호점,,광주 동구 장동로 19 1층,한식,35.1484682489074,126.924022021485
현이네백반,,광주 동구 장동로43번길 7 1층 대풍쪽갈비,"육류,고기요리",35.1480919704504,126.926127208828
함바식당,0.0,광주 북구 양산택지로 18 2층,국밥,35.2080354609219,126.879182764979
대청마루,,광주 광산구 장신로19번안길 19-3,한식,35.1915476855587,126.81274494966
섬진강대사리식당,4.1,광주 남구 봉선중길 2,한식,35.1297474479825,126.911227471402
하늘이네,,광주 광산구 첨단중앙로170번길 21,한식,35.2208565352115,126.843033637872
토방마루,4.32,광주 서구 상일로54번길 5,"백숙,삼계탕",35.1604133060645,126.863849600438
강황울금국밥,,광주 동구 장동로 41 1층,주꾸미요리,35.1476146854932,126.926251866541
대바람 우산점,,광주 서구 풍암1로21번길 13 1층,돼지고기구이,35.1257648508875,126.879387873281
봉이김선달라이브식당,,광주 북구 서하로355번길 6,"해물,생선요리",35.1869888690529,126.919683704455
실비돌솥백반,4.21,광주 남구 효덕로 213 1층 쌈마을찌개꾼 노대직영점,한식,35.1027743407117,126.898363234738
황칠나라왕갈비,,광주 서구 상무대로868번길 26-1,한식,35.1477214129172,126.857552641372
둘레길식당,,광주 북구 동문대로168번길 20-1,한식,35.177007600654,126.929821178134
미가,4.29,광주 북구 송해로 82-8,한식,35.2057272910099,126.89973249759
일등도시락,,광주 서구 내방로 308,소고기구이,35.1574328902256,126.874205223039
양지식당,,광주 남구 봉선로133번길 15 더플레이스1층 104호,소고기구이,35.1246886625673,126.910046667951
참맛식당,,광주 북구 북문대로159번길 9 열평집밥운암점,"찌개,전골",35.1825836825595,126.871577142197
상대월식당,,광주 북구 호동로 4-7,한식,35.1741178983494,126.913328794709
빛고을푸드,,광주 북구 하서로672번길 45,한정식,35.2353436582093,126.891358455054
편안한자리,4.16,광주 서구 무진대로 904 2층 유스퀘어,한식,35.1605756425809,126.879873116288
선경이백반,,광주 서구 금화로85번길 26,"육류,고기요리",35.1346700882727,126.857884686396
대장금,4.35,광주 서구 화개2로20번길 10-4,감자탕,35.124105311685,126.859052899652
행운정,4.48,광주 광산구 사암로 359,국밥,35.1763770749153,126.808020710816
미진푸드,0.0,광주 광산구 사암로 851-1 1층,한식뷔페,35.2168673621312,126.822801615232
여로,,광주 남구 용대로 71,"육류,고기요리",35.1225891238922,126.918069877796
채선당 행복가마솥 홈플러스 동광주점,,광주 광산구 목련로153번안길 54,국밥,35.1749329911579,126.813839111629
별미삼겹,,광주 북구 북문대로 158,한식,35.1827569815358,126.872485583118
장등동시내버스구내매점,,광주 광산구 남동길48번길 33,"육류,고기요리",35.130476555594,126.790347363341
금우에프앤씨,,광주 남구 양림로 56-1 투모아,한식,35.137172395854,126.915211156369
고향추어탕,0.0,광주 북구 자미로66번길 7-9 1층,한식,35.1719411241274,126.905499109571
장수밥집,0.0,광주 북구 우치로90번길 19 2층(용봉동),한식,35.1756190276798,126.913720536958
돈주는마님들,0.0,광주 북구 면앙로156번길 40,"아귀찜,해물찜",35.1747237303875,126.927354913621
제일백반,0.0,광주 동구 중흥로 238-1,"족발,보쌈",35.1588888088831,126.919182969903
엄마의밥집,0.0,광주 남구 양림로 42 행복한  양림밥상,한식,35.1367301943713,126.913688946946
가비백반,0.0,광주 북구 버들로19번길 19,한식,35.1582513782347,126.908190658867
착한밥집 한식뷔페,0.0,광주 북구 첨단연신로 105 2층 203호 세상메디컬빌딩,"육류,고기요리",35.2073458230294,126.864038828909
영심이백반,0.0,광주 광산구 수완로9번길 42-3 1층,"육류,고기요리",35.185891321768,126.826665596943
착한밥집한식뷔페,0.0,광주 서구 마륵복개로 156,한식,35.1464663912919,126.85387110937
